group_id	category	primary_name	other_name	primary_size	other_size	size_ratio	primary_dim	other_dim	primary_path	other_path
8082	default_camera:adjacent_id	dsc00758.arw	defaultdsc00759.arw	36532224	34667	1053.8	7028x4688	600x400	repo/2023/06/11/DSC00758.ARW	repo/2025/03/17/defaultdsc00759.arw
8923	default_camera:adjacent_id	dsc00940.arw	defaultdsc00941.arw	36491264	36882	989.41	7028x4688	600x400	repo/2024/02/15/DSC00940.ARW	repo/2025/03/17/defaultdsc00941.arw
8673	default_camera:adjacent_id	dsc01324.arw	defaultdsc01325.arw	34967552	36604	955.29	7028x4688	600x400	repo/2024/06/11/DSC01324.ARW	repo/2025/03/17/defaultdsc01325.arw
8926	default_camera:adjacent_id	dsc00947.arw	defaultdsc00945.arw	36483072	38642	944.13	7028x4688	600x400	repo/2024/02/15/DSC00947.ARW	repo/2025/03/17/defaultdsc00945.arw
8926	default_camera:adjacent_id	dsc00947.arw	defaultdsc00946.arw	36483072	39057	934.1	7028x4688	600x400	repo/2024/02/15/DSC00947.ARW	repo/2025/03/17/defaultdsc00946.arw
8928	default_camera:adjacent_id	dsc00953.arw	defaultdsc00954.arw	35803136	38415	932.01	7028x4688	600x400	repo/2024/02/15/DSC00953.ARW	repo/2025/03/17/defaultdsc00954.arw
8979	default_camera:adjacent_id	dsc01060.arw	defaultdsc01062.arw	37535744	42682	879.43	7028x4688	600x400	repo/2024/05/18/DSC01060.ARW	repo/2025/03/17/defaultdsc01062.arw
8925	default_camera:adjacent_id	dsc00944.arw	defaultdsc00943.arw	36659200	41739	878.3	7028x4688	600x400	repo/2024/02/15/DSC00944.ARW	repo/2025/03/17/defaultdsc00943.arw
8925	default_camera:adjacent_id	dsc00944.arw	defaultdsc00942.arw	36659200	42021	872.4	7028x4688	600x400	repo/2024/02/15/DSC00944.ARW	repo/2025/03/17/defaultdsc00942.arw
8675	default_camera:adjacent_id	dsc01327.arw	defaultdsc01326.arw	35074048	40376	868.69	7028x4688	600x400	repo/2024/06/11/DSC01327.ARW	repo/2025/03/17/defaultdsc01326.arw
8924	default_camera:adjacent_id	dsc00935.arw	defaultdsc00934.arw	38465536	44788	858.84	7028x4688	600x400	repo/2024/02/09/DSC00935.ARW	repo/2025/03/17/defaultdsc00934.arw
8712	default_camera:adjacent_id	dsc01750.arw	defaultdsc01749.arw	36007936	43432	829.06	7028x4688	600x400	repo/2024/06/13/DSC01750.ARW	repo/2025/03/17/defaultdsc01749.arw
9062	default_camera:adjacent_id	dsc01183.arw	defaultdsc01181.jpg	37244928	46851	794.97	7028x4688	598x400	repo/2024/06/10/DSC01183.ARW	repo/2025/03/17/defaultdsc01181.jpg
9062	default_camera:adjacent_id	dsc01183.arw	defaultdsc01181.arw	37244928	47888	777.75	7028x4688	600x400	repo/2024/06/10/DSC01183.ARW	repo/2025/03/17/defaultdsc01181.arw
9120	default_camera:adjacent_id	dsc01270.arw	defaultdsc01268.jpg	35721216	46463	768.81	7028x4688	598x400	repo/2024/06/10/DSC01270.ARW	repo/2025/03/17/defaultdsc01268.jpg
8073	default_camera:adjacent_id	dsc00752.arw	defaultdsc00750.arw	37289984	49385	755.09	7028x4688	600x400	repo/2023/06/11/DSC00752.ARW	repo/2025/03/17/defaultdsc00750.arw
9120	default_camera:adjacent_id	dsc01270.arw	defaultdsc01268.arw	35721216	47404	753.55	7028x4688	600x400	repo/2024/06/10/DSC01270.ARW	repo/2025/03/17/defaultdsc01268.arw
9122	default_camera:adjacent_id	dsc01272.arw	defaultdsc01273.jpg	36577280	50002	731.52	7028x4688	598x400	repo/2024/06/10/DSC01272.ARW	repo/2025/03/17/defaultdsc01273.jpg
8970	default_camera:adjacent_id	dsc01610.arw	defaultdsc01611.arw	40763392	56340	723.52	7028x4688	600x400	repo/2024/06/12/DSC01610.ARW	repo/2025/03/17/defaultdsc01611.arw
9122	default_camera:adjacent_id	dsc01272.arw	defaultdsc01273.arw	36577280	50889	718.77	7028x4688	600x400	repo/2024/06/10/DSC01272.ARW	repo/2025/03/17/defaultdsc01273.arw
8662	default_camera:adjacent_id	dsc01294.arw	defaultdsc01293.arw	35635200	54689	651.6	7028x4688	600x400	repo/2024/06/11/DSC01294.ARW	repo/2025/03/17/defaultdsc01293.arw
8668	default_camera:adjacent_id	dsc01314.arw	defaultdsc01312.arw	36192256	58647	617.12	7028x4688	600x400	repo/2024/06/11/DSC01314.ARW	repo/2025/03/17/defaultdsc01312.arw
8668	default_camera:adjacent_id	dsc01314.arw	defaultdsc01313.arw	36192256	58934	614.12	7028x4688	600x400	repo/2024/06/11/DSC01314.ARW	repo/2025/03/17/defaultdsc01313.arw
8793	default_camera:adjacent_id	dsc01506.arw	defaultdsc01507.arw	39587840	71881	550.74	7028x4688	600x400	repo/2024/06/11/DSC01506.ARW	repo/2025/03/17/defaultdsc01507.arw
8948	default_camera:adjacent_id	dsc01004.arw	defaultdsc01003.jpg	36950016	67789	545.07	7028x4688	598x400	repo/2024/03/31/DSC01004.ARW	repo/2025/03/17/defaultdsc01003.jpg
8948	default_camera:adjacent_id	dsc01004.arw	defaultdsc01003.arw	36950016	68997	535.53	7028x4688	600x400	repo/2024/03/31/DSC01004.ARW	repo/2025/03/17/defaultdsc01003.arw
