group_id	pair_count	categories	top_ratio	primary_name	example_other_name
5735	15	default_camera:same_core,default_embedded:adjacent_id,default_embedded:other,default_embedded:same_core,default_shotwell:adjacent_id,default_shotwell:other,default_shotwell:same_core	42.57	img_7460_cr2_embedded.jpg	defaultimg_7461_cr2_shotwell.jpg
5782	6	default_camera:same_core,default_embedded:adjacent_id,default_embedded:same_core,default_shotwell:adjacent_id,default_shotwell:same_core	53.92	img_7497_cr2_shotwell.jpg	defaultimg_7497_cr2_shotwell.jpg
5771	6	default_camera:same_core,default_embedded:adjacent_id,default_embedded:same_core,default_shotwell:adjacent_id,default_shotwell:same_core	60.98	img_7482_cr2_shotwell.jpg	defaultimg_7482_cr2_shotwell.jpg
5738	9	default_camera:same_core,default_embedded:adjacent_id,default_embedded:same_core,default_shotwell:adjacent_id,default_shotwell:same_core	46.26	img_7464_cr2_embedded.jpg	defaultimg_7466_cr2_shotwell.jpg
5732	6	default_camera:same_core,default_embedded:adjacent_id,default_embedded:same_core,default_shotwell:adjacent_id,default_shotwell:same_core	43.47	img_7455_cr2_embedded_1.jpg	defaultimg_7454_cr2_shotwell.jpg
5723	9	default_camera:same_core,default_embedded:adjacent_id,default_embedded:same_core,default_shotwell:adjacent_id,default_shotwell:same_core	50.71	img_7445_cr2_embedded.jpg	defaultimg_7447_cr2_shotwell.jpg
5094	9	default_camera:same_core,default_embedded:adjacent_id,default_embedded:same_core,default_shotwell:adjacent_id,default_shotwell:same_core	40.29	img_7426_cr2_embedded.jpg	defaultimg_7424_cr2_shotwell.jpg
5042	6	default_camera:same_core,default_embedded:adjacent_id,default_embedded:same_core,default_shotwell:adjacent_id,default_shotwell:same_core	43.11	img_7422_cr2_shotwell.jpg	defaultimg_7421_cr2_shotwell.jpg
4806	6	default_camera:same_core,default_embedded:adjacent_id,default_embedded:same_core,default_shotwell:adjacent_id,default_shotwell:same_core	50.16	img_5586_cr2_embedded.jpg	defaultimg_5585_cr2_shotwell.jpg
4793	6	default_camera:same_core,default_embedded:other,default_embedded:same_core,default_shotwell:other,default_shotwell:same_core	40.47	img_5575_cr2_embedded.jpg	defaultimg_5578_cr2_shotwell.jpg
2182	7	default_camera:same_core,default_embedded:adjacent_id,default_embedded:same_core,default_shotwell:adjacent_id,default_shotwell:same_core	305.21	img_2015_cr2_shotwell.jpg	defaultimg_2014_cr2_shotwell.jpg
